year,month,day,hour,origin,dest,tailnum,carrier
2013,6,1,7,EWR,ATL,N322US,DL
2013,6,1,7,JFK,SFO,N851VA,VX
2013,6,1,7,EWR,PIT,N12564,EV
2013,6,1,7,JFK,STT,N5FMAA,AA
2013,6,1,7,LGA,TPA,N763JB,B6
2013,6,1,7,JFK,SRQ,N589JB,B6
2013,6,1,7,EWR,DTW,N11150,EV
2013,6,1,7,JFK,DCA,N804MQ,MQ
2013,6,1,7,EWR,SJU,N33209,UA
2013,6,1,7,EWR,ORD,N493UA,UA
2013,6,1,7,JFK,MCO,N536JB,B6
2013,6,1,8,JFK,SFO,N339AA,AA
2013,6,1,8,EWR,RSW,N547JB,B6
2013,6,1,8,LGA,DEN,N497UA,UA
2013,6,1,7,LGA,MIA,N3HGAA,AA
2013,6,1,7,EWR,STL,N228WN,WN
2013,6,1,7,EWR,CHS,N12166,EV
2013,6,1,8,LGA,ATL,N617DL,DL
2013,6,1,7,EWR,ORD,N519MQ,MQ
2013,6,1,8,JFK,SFO,N505UA,UA
2013,6,1,8,LGA,PBI,N311US,DL
2013,6,1,8,JFK,HOU,N354JB,B6
2013,6,1,7,EWR,RDU,N14991,EV
2013,6,1,7,JFK,DTW,N934XJ,9E
2013,6,1,7,LGA,CLT,N171US,US
2013,6,1,8,JFK,CHS,N258JB,B6
2013,6,1,8,LGA,TPA,N916DL,DL
2013,6,1,8,EWR,MSP,N339NB,DL
2013,6,1,8,JFK,PIT,N8694A,9E
2013,6,1,8,JFK,FLL,N665JB,B6
2013,6,1,8,LGA,DEN,N953WN,WN
2013,6,1,8,EWR,LAX,N507UA,UA
2013,6,1,7,JFK,RDU,N247JB,B6
2013,6,1,8,JFK,LAS,N602DL,DL
2013,6,1,8,EWR,CLT,N188US,US
2013,6,1,8,JFK,BUF,N309JB,B6
2013,6,1,8,EWR,MHT,N21537,EV
2013,6,1,8,EWR,MCO,N37434,UA
2013,6,1,8,LGA,BNA,N525MQ,MQ
2013,6,1,8,LGA,DEN,N373NW,DL
2013,6,1,8,JFK,FLL,N338NW,DL
2013,6,1,8,LGA,MSP,N356NW,DL
2013,6,1,8,JFK,MSP,N930XJ,9E
2013,6,1,8,EWR,BTV,N16546,EV
2013,6,1,8,JFK,SJU,N606JB,B6
2013,6,1,8,JFK,TPA,N308DE,DL
2013,6,1,8,JFK,MCO,N904DE,DL
2013,6,1,8,JFK,BOS,N3GEAA,AA
2013,6,1,8,JFK,ORD,N933XJ,9E
2013,6,1,8,JFK,PHX,N375DA,DL
2013,6,1,8,LGA,CMH,N544MQ,MQ
2013,6,1,8,JFK,CLT,N316JB,B6
2013,6,1,8,EWR,MSP,N23139,EV
2013,6,1,8,JFK,CLT,N186US,US
2013,6,1,8,EWR,BWI,N13132,EV
2013,6,1,8,LGA,CLE,N724MQ,MQ
2013,6,1,8,EWR,SFO,N39416,UA
2013,6,1,8,LGA,ORD,N454AA,AA
2013,6,1,8,JFK,SAN,N3766,DL
2013,6,1,8,JFK,LAX,N555UA,UA
2013,6,1,8,JFK,SAN,N634JB,B6
2013,6,1,8,LGA,DFW,N3GKAA,AA
2013,6,1,8,LGA,DTW,N735MQ,MQ
2013,6,1,7,LGA,MIA,N938DL,DL
2013,6,1,8,EWR,IAH,N853UA,UA
2013,6,1,8,EWR,BOS,N323JB,B6
2013,6,1,8,JFK,MIA,N6700,DL
2013,6,1,8,JFK,SEA,N809JB,B6
2013,6,1,8,LGA,CLT,N755US,US
2013,6,1,8,EWR,CMH,N14923,EV
2013,6,1,8,EWR,SEA,N402UA,UA
2013,6,1,8,JFK,DCA,N937XJ,9E
2013,6,1,8,LGA,MCO,N377NW,DL
2013,6,1,6,EWR,CLT,N14916,EV
2013,6,1,8,JFK,RDU,N800MQ,MQ
2013,6,1,8,JFK,BOS,N912XJ,9E
2013,6,1,8,EWR,SAN,N462UA,UA
2013,6,1,8,JFK,PHL,N8794B,9E
2013,6,1,8,JFK,SJU,N5FEAA,AA
2013,6,1,8,JFK,SJU,N3749D,DL
2013,6,1,8,EWR,DTW,N766NC,DL
2013,6,1,8,EWR,PWM,N27962,EV
2013,6,1,8,EWR,AVL,N13994,EV
2013,6,1,8,LGA,ATL,N508MQ,MQ
2013,6,1,9,JFK,MIA,N639AA,AA
2013,6,1,9,EWR,FLL,N793JB,B6
2013,6,1,9,LGA,DTW,N317US,DL
2013,6,1,9,LGA,DCA,N963UW,US
2013,6,1,9,LGA,ATL,N692DL,DL
2013,6,1,9,EWR,ATL,N302DQ,DL
2013,6,1,9,EWR,DEN,N57111,UA
2013,6,1,9,JFK,LAX,N328AA,AA
2013,6,1,9,JFK,LAX,N721TW,DL
2013,6,1,9,EWR,LAX,N538UA,UA
2013,6,1,9,LGA,ORD,N421UA,UA
2013,6,1,9,LGA,CLT,N513MQ,MQ
2013,6,1,9,EWR,DFW,N560AA,AA
2013,6,1,9,JFK,PWM,N193JB,B6
2013,6,1,9,EWR,CLT,N14905,EV
2013,6,1,9,LGA,FLL,N359NW,DL
2013,6,1,9,EWR,LAX,N844VA,VX
2013,6,1,9,EWR,JAX,N13955,EV
2013,6,1,9,EWR,STT,N16732,UA
2013,6,1,9,EWR,SAV,N13118,EV
2013,6,1,9,LGA,STL,N575AA,AA
2013,6,1,9,LGA,DFW,N482AA,AA
2013,6,1,9,EWR,IND,N14562,EV
2013,6,1,9,EWR,SFO,N592UA,UA
2013,6,1,9,JFK,SYR,N267JB,B6
2013,6,1,9,JFK,MCO,N715JB,B6
2013,6,1,9,EWR,MDW,N965WN,WN
2013,6,1,9,JFK,SFO,N329AA,AA
2013,6,1,9,JFK,BTV,N296JB,B6
2013,6,1,9,EWR,DCA,N14977,EV
2013,6,1,9,LGA,MCO,N627JB,B6
2013,6,1,9,JFK,AUS,N579JB,B6
2013,6,1,9,JFK,ROC,N358JB,B6
2013,6,1,9,JFK,LAX,N628VA,VX
2013,6,1,9,EWR,RSW,N37413,UA
2013,6,1,9,LGA,BNA,N611QX,EV
2013,6,1,9,JFK,FLL,N598JB,B6
2013,6,1,9,LGA,MSY,N372NW,DL
2013,6,1,9,JFK,LAS,N558JB,B6
2013,6,1,9,LGA,ORD,N4XYAA,AA
2013,6,1,9,LGA,CLT,N751EV,EV
2013,6,1,9,LGA,FLL,N594JB,B6
2013,6,1,9,JFK,IAD,N877AS,EV
2013,6,1,9,LGA,BNA,N0EGMQ,MQ
2013,6,1,9,LGA,CVG,N8525B,9E
2013,6,1,9,LGA,MIA,N3JXAA,AA
2013,6,1,9,EWR,LAS,N38446,UA
2013,6,1,9,LGA,CLT,N750UW,US
2013,6,1,10,EWR,CLE,N12136,EV
2013,6,1,10,LGA,ATL,N511MQ,MQ
2013,6,1,10,LGA,MIA,N381DN,DL
2013,6,1,10,LGA,BOS,N945UW,US
2013,6,1,10,JFK,HNL,N388HA,HA
2013,6,1,9,JFK,LAS,N845VA,VX
2013,6,1,9,LGA,MKE,N748EV,EV
2013,6,1,10,LGA,ATL,N395DN,DL
2013,6,1,10,EWR,CHS,N18101,EV
2013,6,1,10,JFK,TPA,N534JB,B6
2013,6,1,9,EWR,STL,N11547,EV
2013,6,1,10,LGA,IAD,N834AS,EV
2013,6,1,10,JFK,SFO,N712TW,DL
2013,6,1,10,LGA,MKE,N492WN,WN
2013,6,1,10,LGA,DFW,N3GLAA,AA
2013,6,1,10,JFK,BOS,N317JB,B6
2013,6,1,10,EWR,CLT,N757UW,US
2013,6,1,10,EWR,TPA,N404UA,UA
2013,6,1,10,EWR,DTW,N719EV,EV
2013,6,1,10,EWR,PHX,N675AW,US
2013,6,1,10,JFK,PBI,N509JB,B6
2013,6,1,10,JFK,LAS,N391DA,DL
2013,6,1,10,EWR,BOS,N37470,UA
2013,6,1,10,LGA,ORD,N475AA,AA
2013,6,1,10,EWR,SFO,N528VA,VX
2013,6,1,10,EWR,BUF,N11121,EV
2013,6,1,10,JFK,PHX,N547UW,US
2013,6,1,10,LGA,IAH,N578UA,UA
2013,6,1,10,EWR,RDU,N26545,EV
2013,6,1,10,JFK,LAX,N320AA,AA
2013,6,1,10,LGA,FLL,N587JB,B6
2013,6,1,10,JFK,SFO,N631VA,VX
2013,6,1,10,EWR,IAD,N14993,EV
2013,6,1,10,JFK,BUF,N324JB,B6
2013,6,1,10,LGA,SRQ,N996DL,DL
2013,6,1,10,JFK,MCO,N569JB,B6
2013,6,1,10,EWR,ORD,N850UA,UA
2013,6,1,10,JFK,LAS,N563JB,B6
2013,6,1,10,JFK,SLC,N3763D,DL
2013,6,1,11,LGA,DTW,N368NB,DL
2013,6,1,11,LGA,DCA,N957UW,US
2013,6,1,11,LGA,ATL,N664DN,DL
2013,6,1,11,LGA,RDU,N721MQ,MQ
2013,6,1,11,JFK,MCO,N326US,DL
2013,6,1,11,JFK,LAX,N518UA,UA
2013,6,1,11,EWR,IND,N12540,EV
2013,6,1,10,EWR,LAX,N33203,UA
2013,6,1,11,EWR,MCO,N640JB,B6
2013,6,1,11,EWR,PBI,N87527,UA
2013,6,1,11,LGA,MDW,N206WN,WN
2013,6,1,11,EWR,BOS,N249JB,B6
2013,6,1,11,LGA,DEN,N477UA,UA
2013,6,1,10,EWR,SDF,N14960,EV
2013,6,1,11,LGA,ORD,N4WWAA,AA
2013,6,1,11,LGA,CLT,N172US,US
2013,6,1,11,LGA,MIA,N941DL,DL
2013,6,1,11,LGA,BNA,N510MQ,MQ
2013,6,1,11,EWR,GSP,N12564,EV
2013,6,1,11,EWR,MSP,N134EV,EV
2013,6,1,11,LGA,FLL,N313US,DL
2013,6,1,11,LGA,MSP,N352NW,DL
2013,6,1,11,EWR,RDU,N16546,EV
2013,6,1,11,LGA,ORD,N487UA,UA
2013,6,1,11,JFK,MVY,N8794B,9E
2013,6,1,11,LGA,MIA,N3JAAA,AA
2013,6,1,11,JFK,ACK,N294JB,B6
2013,6,1,11,EWR,ATL,N338NB,DL
2013,6,1,11,EWR,SFO,N541UA,UA
2013,6,1,11,EWR,MCO,N14118,UA
2013,6,1,11,JFK,DCA,N804MQ,MQ
2013,6,1,12,LGA,CLE,N722MQ,MQ
2013,6,1,11,EWR,ROC,N16981,EV
2013,6,1,11,EWR,ORD,N546MQ,MQ
2013,6,1,11,JFK,DCA,N532MQ,MQ
2013,6,1,12,LGA,BOS,N949UW,US
2013,6,1,12,JFK,IAD,N309JB,B6
2013,6,1,12,JFK,BOS,N919XJ,9E
2013,6,1,11,LGA,PBI,N922DL,DL
2013,6,1,12,JFK,SFO,N560UA,UA
2013,6,1,12,LGA,ATL,N3733Z,DL
2013,6,1,10,EWR,BNA,N12126,EV
2013,6,1,12,EWR,MCI,N11106,EV
2013,6,1,11,EWR,IAH,N73445,UA
2013,6,1,12,EWR,MIA,N3ECAA,AA
2013,6,1,12,EWR,JAX,N12967,EV
2013,6,1,12,EWR,IAH,N38727,UA
2013,6,1,12,JFK,RSW,N605JB,B6
2013,6,1,12,JFK,CLT,N751UW,US
2013,6,1,11,LGA,MSP,N515MQ,MQ
2013,6,1,12,LGA,ATL,N527MQ,MQ
2013,6,1,12,LGA,DFW,N529AA,AA
2013,6,1,12,JFK,LAX,N319AA,AA
2013,6,1,12,EWR,BUF,N27962,EV
2013,6,1,12,EWR,DEN,N24702,UA
2013,6,1,12,LGA,CVG,N8891A,9E
2013,6,1,12,EWR,DTW,N13132,EV
2013,6,1,12,JFK,BTV,N247JB,B6
2013,6,1,11,JFK,FLL,N583JB,B6
2013,6,1,12,EWR,SYR,N14991,EV
2013,6,1,12,EWR,CHS,N16559,EV
2013,6,1,12,EWR,DTW,N316NB,DL
2013,6,1,12,LGA,CLT,N614QX,EV
2013,6,1,12,JFK,SLC,N3754A,DL
2013,6,1,12,EWR,DFW,N455AA,AA
2013,6,1,12,EWR,MSY,N405WN,WN
2013,6,1,11,LGA,ATL,N921AT,FL
2013,6,1,12,JFK,BOS,N3GEAA,AA
2013,6,1,12,JFK,SYR,N216JB,B6
2013,6,1,12,LGA,CMH,N720MQ,MQ
2013,6,1,12,EWR,FLL,N564JB,B6
2013,6,1,12,EWR,MCO,N58101,UA
2013,6,1,12,EWR,MIA,N824UA,UA
2013,6,1,12,JFK,PBI,N193JB,B6
2013,6,1,13,LGA,DCA,N963UW,US
2013,6,1,12,EWR,IND,N14907,EV
2013,6,1,12,EWR,BTV,N11536,EV
2013,6,1,13,EWR,ATL,N538CA,EV
2013,6,1,12,JFK,BUF,N203JB,B6
2013,6,1,13,JFK,RDU,N800MQ,MQ
2013,6,1,13,EWR,ORD,N18119,UA
2013,6,1,12,LGA,CLT,N190UW,US
2013,6,1,13,JFK,BOS,N258JB,B6
2013,6,1,13,JFK,SJU,N3738B,DL
2013,6,1,13,EWR,LAX,N622VA,VX
2013,6,1,13,EWR,GSO,N11548,EV
2013,6,1,12,LGA,IAH,N533UA,UA
2013,6,1,13,EWR,IAD,N16183,EV
2013,6,1,13,LGA,DTW,N724MQ,MQ
2013,6,1,13,JFK,PWM,N267JB,B6
2013,6,1,13,EWR,CLT,N182UW,US
2013,6,1,13,LGA,RSW,N652JB,B6
2013,6,1,13,LGA,ATL,N608AT,FL
2013,6,1,13,LGA,ATL,N915DL,DL
2013,6,1,13,LGA,ORD,N4YCAA,AA
2013,6,1,13,EWR,AUS,N417WN,WN
2013,6,1,13,EWR,BDL,N14977,EV
2013,6,1,13,EWR,LAX,N17126,UA
2013,6,1,13,LGA,SRQ,N562JB,B6
2013,6,1,13,LGA,MDW,N920WN,WN
2013,6,1,13,LGA,MEM,N608QX,EV
2013,6,1,13,JFK,MVY,N316JB,B6
2013,6,1,13,EWR,SAV,N13994,EV
2013,6,1,13,EWR,SFO,N849UA,UA
2013,6,1,13,EWR,CVG,N14916,EV
2013,6,1,13,EWR,HNL,N77066,UA
2013,6,1,13,LGA,MCI,N755EV,EV
2013,6,1,13,EWR,MSN,N11150,EV
2013,6,1,13,LGA,RDU,N544MQ,MQ
2013,6,1,13,EWR,RSW,N76505,UA
2013,6,1,13,JFK,LAX,N336AA,AA
2013,6,1,13,EWR,ORD,N504MQ,MQ
2013,6,1,13,EWR,RIC,N14204,EV
2013,6,1,13,LGA,MKE,N764SW,WN
2013,6,1,13,JFK,ROC,N229JB,B6
2013,6,1,13,LGA,MIA,N3BPAA,AA
2013,6,1,13,JFK,LGB,N638JB,B6
2013,6,1,14,JFK,BOS,N358JB,B6
2013,6,1,13,EWR,PHX,N444WN,WN
2013,6,1,13,EWR,TPA,N492UA,UA
2013,6,1,13,EWR,MCO,N603JB,B6
2013,6,1,13,EWR,LAS,N17229,UA
2013,6,1,13,EWR,PHX,N640AW,US
2013,6,1,13,LGA,DFW,N3HMAA,AA
2013,6,1,13,JFK,MCO,N508JB,B6
2013,6,1,14,LGA,ATL,N680DA,DL
2013,6,1,13,JFK,MIA,N5DCAA,AA
2013,6,1,13,LGA,MIA,N339NW,DL
2013,6,1,13,JFK,ATL,N707TW,DL
2013,6,1,13,EWR,PBI,N36272,UA
2013,6,1,13,LGA,MCO,N973DL,DL
2013,6,1,14,LGA,CLT,N502MQ,MQ
2013,6,1,14,EWR,BOS,N317JB,B6
2013,6,1,14,JFK,IAD,N832AS,EV
2013,6,1,14,JFK,CHS,N281JB,B6
2013,6,1,14,LGA,MSP,N525MQ,MQ
2013,6,1,14,EWR,ORD,N842UA,UA
2013,6,1,14,EWR,BTV,N14905,EV
2013,6,1,13,EWR,DEN,N47414,UA
2013,6,1,14,LGA,BNA,N725SW,WN
2013,6,1,14,LGA,CAK,N607AT,FL
2013,6,1,14,EWR,IAH,N17233,UA
2013,6,1,14,EWR,MSP,N615QX,EV
2013,6,1,14,JFK,SJU,N5EUAA,AA
2013,6,1,14,JFK,JAX,N296JB,B6
2013,6,1,14,JFK,PIT,N717TW,DL
2013,6,1,14,LGA,FLL,N324US,DL
2013,6,1,14,LGA,IAD,N820AS,EV
2013,6,1,14,JFK,FLL,N659JB,B6
2013,6,1,14,JFK,SFO,N554UA,UA
2013,6,1,14,LGA,CMH,N735MQ,MQ
2013,6,1,14,EWR,MHT,N14562,EV
2013,6,1,14,LGA,MSP,N981DL,DL
2013,6,1,14,JFK,RDU,N815MQ,MQ
2013,6,1,14,LGA,CLT,N185UW,US
2013,6,1,14,JFK,BWI,N8794B,9E
2013,6,1,14,LGA,PBI,N319US,DL
2013,6,1,13,EWR,MSP,N12166,EV
2013,6,1,14,LGA,ORD,N582AA,AA
2013,6,1,13,JFK,LAX,N627VA,VX
2013,6,1,14,LGA,MIA,N3FUAA,AA
2013,6,1,14,JFK,SJU,N635JB,B6
2013,6,1,14,LGA,DTW,N961DL,DL
2013,6,1,14,EWR,SFO,N87512,UA
2013,6,1,14,EWR,CMH,N23139,EV
2013,6,1,14,EWR,CHS,N13118,EV
2013,6,1,14,EWR,FLL,N467UA,UA
2013,6,1,14,JFK,HOU,N368JB,B6
2013,6,1,14,LGA,FLL,N763JB,B6
2013,6,1,14,JFK,MCO,N5EXAA,AA
2013,6,1,15,LGA,BOS,N952UW,US
2013,6,1,15,LGA,ORD,N4YPAA,AA
2013,6,1,14,JFK,MCO,N589JB,B6
2013,6,1,15,EWR,CLT,N435US,US
2013,6,1,15,EWR,DFW,N514AA,AA
2013,6,1,14,JFK,MSY,N184JB,B6
2013,6,1,15,LGA,ATL,N674DL,DL
2013,6,1,14,EWR,ORF,N18557,EV
2013,6,1,14,EWR,CLE,N837UA,UA
2013,6,1,14,JFK,BUF,N8936A,9E
2013,6,1,14,JFK,MIA,N354AA,AA
2013,6,1,15,JFK,PIT,N627MQ,MQ
2013,6,1,14,JFK,CLE,N636MQ,MQ
2013,6,1,15,LGA,ORD,N434UA,UA
2013,6,1,14,JFK,DCA,N912XJ,9E
2013,6,1,14,JFK,TPA,N806JB,B6
2013,6,1,14,JFK,IAD,N8747B,9E
2013,6,1,14,EWR,LAX,N14106,UA
2013,6,1,14,EWR,DCA,N11544,EV
2013,6,1,14,LGA,ATL,N982AT,FL
2013,6,1,15,LGA,MCO,N916DL,DL
2013,6,1,15,JFK,IND,N644MQ,MQ
2013,6,1,15,LGA,DEN,N430UA,UA
2013,6,1,15,LGA,CLT,N508MQ,MQ
2013,6,1,15,EWR,TPA,N547JB,B6
2013,6,1,15,JFK,BOS,N706TW,DL
2013,6,1,15,EWR,PVD,N13955,EV
2013,6,1,15,EWR,IAH,N830UA,UA
2013,6,1,15,EWR,BNA,N33182,EV
2013,6,1,15,JFK,IND,N8943A,9E
2013,6,1,14,JFK,BOS,N3734B,DL
2013,6,1,15,JFK,SFO,N372AA,AA
2013,6,1,15,EWR,PHX,N76508,UA
2013,6,1,15,LGA,STL,N918WN,WN
2013,6,1,15,EWR,MSY,N18101,EV
2013,6,1,15,LGA,TPA,N311US,DL
2013,6,1,15,LGA,RDU,N725MQ,MQ
2013,6,1,15,EWR,LAX,N804UA,UA
2013,6,1,15,JFK,RSW,N632JB,B6
2013,6,1,15,JFK,LAX,N199DN,DL
2013,6,1,15,LGA,CLT,N737US,US
2013,6,1,15,EWR,SFO,N76504,UA
2013,6,1,15,EWR,ATL,N782NC,DL
2013,6,1,15,JFK,LAX,N17104,UA
2013,6,1,15,JFK,BTV,N298JB,B6
2013,6,1,15,JFK,ATL,N326NB,DL
2013,6,1,15,JFK,FLL,N338NW,DL
2013,6,1,15,JFK,MCO,N3771K,DL
2013,6,1,15,EWR,GRR,N27962,EV
2013,6,1,15,LGA,DFW,N3BXAA,AA
2013,6,1,15,LGA,MIA,N924DL,DL
2013,6,1,16,EWR,CVG,N11187,EV
2013,6,1,15,JFK,LAS,N3737C,DL
2013,6,1,15,EWR,MCO,N11206,UA
2013,6,1,15,EWR,MDW,N908WN,WN
2013,6,1,16,LGA,MIA,N3HGAA,AA
2013,6,1,15,JFK,SLC,N3756,DL
2013,6,1,15,LGA,BNA,N0EGMQ,MQ
2013,6,1,15,JFK,ORD,N294JB,B6
2013,6,1,16,EWR,GSP,N16546,EV
2013,6,1,16,JFK,BOS,N3DMAA,AA
2013,6,1,15,JFK,BUF,N324JB,B6
2013,6,1,15,JFK,CMH,N698MQ,MQ
2013,6,1,16,JFK,MIA,N355NW,DL
2013,6,1,15,EWR,MSP,N14174,EV
2013,6,1,15,EWR,ORD,N471UA,UA
2013,6,1,16,JFK,SEA,N709TW,DL
2013,6,1,15,JFK,DCA,N3AEMQ,MQ
2013,6,1,16,JFK,CVG,N637MQ,MQ
2013,6,1,16,JFK,PIT,N604LR,9E
2013,6,1,16,LGA,PBI,N760JB,B6
2013,6,1,15,EWR,STL,N460WN,WN
2013,6,1,16,JFK,RDU,N922XJ,9E
2013,6,1,16,JFK,BNA,N601LR,9E
2013,6,1,16,EWR,SAV,N13968,EV
2013,6,1,16,JFK,MSP,N933XJ,9E
2013,6,1,16,LGA,ATL,N511MQ,MQ
2013,6,1,16,EWR,DCA,N11547,EV
2013,6,1,16,LGA,CVG,N751EV,EV
2013,6,1,16,LGA,STL,N575AA,AA
2013,6,1,15,JFK,ORD,N910XJ,9E
2013,6,1,15,EWR,TPA,N504UA,UA
2013,6,1,16,JFK,BOS,N919XJ,9E
2013,6,1,16,LGA,GSO,N730EV,EV
2013,6,1,16,JFK,DFW,N3GBAA,AA
2013,6,1,16,JFK,DEN,N398DA,DL
2013,6,1,16,EWR,FLL,N73406,UA
2013,6,1,16,LGA,TPA,N793JB,B6
2013,6,1,16,JFK,PHX,N552UW,US
2013,6,1,16,JFK,FLL,N665JB,B6
2013,6,1,15,JFK,DFW,N914XJ,9E
2013,6,1,16,EWR,SAN,N474UA,UA
2013,6,1,16,LGA,DTW,N377NW,DL
2013,6,1,15,JFK,DTW,N989DL,DL
2013,6,1,16,LGA,ATL,N521US,DL
2013,6,1,16,LGA,MSY,N368NB,DL
2013,6,1,16,LGA,RDU,N748EV,EV
2013,6,1,16,EWR,DTW,N135EV,EV
2013,6,1,16,EWR,IAH,N18112,UA
2013,6,1,16,EWR,PBI,N708JB,B6
2013,6,1,16,JFK,SFO,N843VA,VX
2013,6,1,16,EWR,RIC,N15980,EV
2013,6,1,16,EWR,DAY,N17159,EV
2013,6,1,16,JFK,MCO,N775JB,B6
2013,6,1,16,EWR,PBI,N486UA,UA
2013,6,1,15,JFK,LAX,N323AA,AA
2013,6,1,16,LGA,ATL,N946AT,FL
2013,6,1,16,EWR,MEM,N13949,EV
2013,6,1,16,EWR,SFO,N74856,UA
2013,6,1,16,JFK,LAX,N796JB,B6
2013,6,1,16,JFK,CLE,N8836A,9E
2013,6,1,16,JFK,SFO,N702TW,DL
2013,6,1,16,EWR,PHX,N834AW,US
2013,6,1,16,JFK,BOS,N247JB,B6
2013,6,1,16,LGA,MDW,N7714B,WN
2013,6,1,16,LGA,ORD,N76254,UA
2013,6,1,16,EWR,CLE,N16713,UA
2013,6,1,16,JFK,MKE,N906XJ,9E
2013,6,1,17,LGA,ATL,N389DA,DL
